Plarity,Text
P,پھر آپ کو پتہ چلے گا کہ وہ اپنے مقصد کے لئے کتنی محنت اور کیسی کیسی قربانی دیتے ہیں۔
Neu,تب آپ کو پتہ چلے گا کہ دوسری طرف ہم جیسی عوام کتنے پانی میں ہے۔
P,ہم نے ان کی برائی ختم کرنے کے لئے یعنی ان کے مقابلے میں اچھائی کے لئے کیا کیا؟
P,کیا ان جتنی لگن سے محنت کی؟
P,کیا ان جتنا کام کیا؟
N,وہ برائی کی خاطر ہر وقت خوف میں زندگی گزارتے ہیں اور ہم خوف آنے کے ڈر سے اچھائی ہی نہیں کرتے۔
N,وہ برائی کے لئے میڈیا سے بچتے ہیں اور ہم اچھائی کے لئے گواہی تک نہیں دیتے۔
N,وہ برائی کے لئے جیل کاٹتے ہیں اور ہم جیل کے ڈر سےمست ملنگ بنے ہوئے ہیں۔
N,وہ اپنے مقصد کی خاطر رشتہ دار تک گنوا دیتے ہیں اور ہم رشتہ داروں کی خاطر اچھائی نہیں کرتے۔
N,وہ کرسی کے لئے پلان بناتے ہیں اور ہمارے پاس کچھ بہتر کرنے کی سوچ تک نہیں آتی۔
N,وہ راتوں کو جاگ جاگ کر میٹنگز کرتے ہیں اور ہم آرام سے خواب غفلت کی نیند سو رہے ہیں۔
N, وہ دن رات لوگوں کو اپنے جال میں پھنسانے کی کوشش کرتے ہوئے ایک منظم گروہ تیار کرتے ہیں اور ہم نے اچھائی کے لئے نہ خود کو جوڑا ہے اور نہ ان کو توڑا ہے اور سونے پر سہاگہ ہم پنجابی، سندھی، بلوچی اور پٹھان میں تقسیم ہوئے بیٹھے ہیں۔
N,ان میں ایک مرتا ہے تو دوسرا آ جاتا ہے اور ہم مرنے کے ڈر سے اچھائی ہی نہیں کرتے۔
N,ان کی جدوجہد 63 سال سے جاری ہے اور ہم ان کا مقابلہ کرنے کے 63 منٹ بھی نہیں نکال سکتے۔
N,ان کا برا انجام بھی ہوتا ہے لیکن وہ ڈرتے نہیں جبکہ ہم اچھے انجام کے لئے کوشش تک نہیں کرتے۔
N,کبھی خود سے سوال کرنا کہ دوسری طرف بیٹھے ہوئے بھیڑیوں کے مقابلے میں تم نے کیا کیا؟
P,بے شک ان کا مقصد درندگی ہے لیکن وہ اپنے مقصد کے ساتھ مخلص ضرور ہیں۔
N,شاید عوام کا مقصد اچھائی لانے کی کوشش ہے لیکن ہم اپنے مقصد کے ساتھ مخلص نہیں۔
N, یا پھر ان مٹھی بھر لوگوں کے مقابلے میں اتنی بڑی عوام میں اتنی عقل اور ہمت موجود نہیں اور یہ ہمارے لئے ڈوب مرنے کا مقام ہے کہ ہم نظام کی بہتری کے لئے تنے بڑے ہجوم سے چند لوگ بھی آگے نہیں لا پائے، جو ان جتنی سوچ، عقل اور ہمت رکھتے ہوں۔
Neu,ہماری مایوسی اور مثبت سوچ۔
P,اکثر مثبت سوچ کی ترویج کے لئے ایک بات کی جاتی ہے کہ ”گلاس کو آدھا خالی نہ دیکھو بلکہ آدھا بھرا ہوا دیکھو“۔
N,جو لوگ مشکل سر پر ہو لیکن اپنی آنکھیں بند کر لیتے ہیں ۔
P,ایسے لوگوں کی ہمت بڑھانے اور مشکل کا مقابلہ کرنے کے لئے حوصلہ دیتے ہوئے کہا جاتا ہے بلکہ اکثر تنقیدی انداز میں کہا جاتا ہے کہ ”بلی کو دیکھ کر کبوتر کی طرح آنکھیں بند کر لینا کسی مسئلے کا حل نہیں“۔
N,میں اکثر ان دونوں باتوں کی وجہ سے کافی ”کنفیوز“ ہو جاتا ہوں۔
N, جب کہیں پڑھتا یا سنتا ہوں کہ یہ ٹی وی اینکر، کالم نگار اور باقی لکھاری وغیرہ ملک کی خرابیاں ہی دیکھتے ہیں اور پھر دوسروں کو بتاتے ہیں۔
N,یہ لوگ ملک میں مایوسی پھیلا رہے ہیں۔
P,یہاں پھر وہی بات میرے ذہن میں آتی ہے کہ واقعی گلاس کو آدھا خالی نہیں دیکھنا چاہئے بلکہ آدھا بھرا ہوا بھی تو ہے۔
P,کچھ دیر اسی پر اتفاق رکھتا ہوں لیکن ساتھ ہی جب یہ خیال آتا ہے کہ بلی کو دیکھ کر کبوتر کی طرح آنکھیں بند کر لینا بھی تو کوئی سمجھداری نہیں تو پھر سوچتا ہوں، نہیں نہیں خرابیاں سب کے سامنے لائی جانی چاہئیں۔
P,تاکہ لوگوں کو پتہ چلے کہ ہمارے ملک میں کیا کیا گل کھلائے جا رہے ہیں۔
P,عوام کو جگایا جائے اور بتایا جائے کہ غفلت کی نیند سے جاگو اور ہوش کرو۔
N,مزید اس تحریر میں مایوسی اور مثبت سوچ پر بالکل تھوڑی سی بات کرتا ہوں۔
Neu, ایک چھوٹی سی فرضی کہانی، کسی کالم نگار نے اپنے کالم میں کچھ خرابیاں بیان کیں، کالم نگار نے جو دیکھا وہ بیان کر دیا تاکہ باقیوں کو بھی پتہ چل جائے کہ آج کل کیا چل رہا ہے۔
N,اب کالم نگار بیچارہ کیا کرے؟
Neu,آدھا گلاس بھرا تو دور یہاں تو سارا گلاس ہی خالی ہے۔
Neu,بس کہیں کونے میں ایک چھوٹا سا قطرہ ہے۔
N,جس کے گرد بھی اتنی گندگی ہے کہ وہ قطرہ بھی گندہ معلوم ہوتا ہے۔
N,خیر اب اس کالم کو ”زاہد“ نے پڑھا اور سوچا کہ دیکھو یار ملک کے حالات بہت خراب ہیں۔
Neu,پچھلی آدھی صدی سے یہی سب چل رہا ہے۔
N,ایک ایسا نظام تیار ہو چکا ہے جو کبھی ٹھیک نہیں ہو سکتا۔
N, حکمران سے لے کر ایک عام انسان تک، سب کے سب خراب ہو چکے ہیں۔
N,اس لئے بہتر یہی ہے کہ انہیں ہواؤں کے رخ پر اپنا رخ کر لوں اور بہتی گنگا میں جہاں دوسرے ہاتھ دھو رہے ہیں میں بھی دھوتا جاؤں۔
N, ویسے بھی جہاں سب اپنا الو سیدھا کر رہے ہیں وہاں پر میں نے کچھ کر لیا تو کوئی فرق نہیں پڑتا یا پھر چھوڑوں اس ملک کو، اور کہیں چلتے ہیں۔ 
N,اس ملک کا کچھ نہیں ہو سکتا“ کی صدا لگاتے ہوئے ”حضرت“ چل دیئے۔
Neu,دوسری طرف ”پاڈا صاحب“ نے بھی وہی کالم پڑھا۔
P, اب ”پاڈا صاحب“ پڑھے لکھے انسان ہیں، تھوڑی سمجھ بوجھ رکھتے ہیں۔
P,تنقید کے ماہر ہیں۔
Neu,میری طرح صرف باتیں ہی کرتے ہیں۔
N,”پاڈا صاحب“ کے خلوص میں کوئی شک نہیں لیکن بیچارے کر کچھ نہیں سکتے اس لئے صرف تنقید پر ہی گذارہ کرتے ہیں۔
Neu,زاہد جیسے لوگوں کو اکثر دیکھتے رہتے ہیں۔
N,آ جا کر جب کچھ نہ بن پاتا تو جناب فرماتے ہیں کہ یہ کالم نگار عوام میں مایوسی پھیلا رہے ہیں۔
N,تیسری طرف ”بکر“ نے بھی اسی کالم کو پڑھا اور سوچا! یار ملک کے حالات بہت خراب ہو چکے ہیں۔
Neu,پچھلی آدھی صدی سے یہی سب چل رہا ہے۔
N,بہت گند ہو چکا ہے۔
P,آخر کسی نے تو صفائی کرنی ہے۔
Neu,کوئی اور نہیں تو میں ہی سہی۔
P,چلو میں خوشحالی نہ دیکھوں لیکن ہماری آنے والی نسلیں تو دیکھیں گی۔
P,چلو کوئی یاد رکھے نہ رکھے لیکن اچھائی کے سمندر میں ایک قطرہ میں بھی تو ہوں گا۔
P,سمندر نہ بھی بن پایا تو کم از کم میرا نام برائی والی فہرست میں تو نہیں ہو گا۔
Neu,ایسا تو ایسا ہی سہی۔
Neu,شاید میرا کردار بس سٹیج کے ایک کونے میں کھڑے ہو کر آہستہ آہستہ آواز لگانے کا ہی ہے۔
P,بے شک میری آواز کوئی نہیں سنے گا لیکن میرا ضمیر اور میرا رب ضرور سنے گا۔
P, کہانی ختم، فیصلہ آپ لوگوں کے ہاتھ میں، بس اتنا سوچو خرابی کی نشان دہی کس نے کی تاکہ اس کا سدِ باب ہو سکے؟
Neu,بلی کو دیکھ کر آنکھیں کس نے بند کیں گلاس آدھا بھرا ہو کس نے دیکھا؟
N,مایوس کون ہوا؟
N,مایوس ہو کر مایوسی کا سبب کون بنا؟
N,مایوسی کو مزید تقویت کس نے دی؟
P,ہمت کس نے کی؟
P,مثبت سوچ نے کہاں سے جنم لیا؟
P,مثبت سوچ کس نے اختیار کی؟
Neu,ہماری مایوسی اور مثبت سوچ کہاں کہاں اور کس کس روپ میں ہے؟
N,نعرے لگانا آسان مگر محنت کرنا بہت مشکل۔
P,انٹرنیٹ بنانے والے نے بھی کیا زبردست چیز بنا دی ہے۔
Neu,ایک وقت تھا تحریک آزادی اور دوسری تحریکوں کے سربراہ اور دیگر ممبران کو دور دراز علاقوں تک سفر کرنا پڑتا، آزادی کا شعور دینے اور اپنی آواز دوسروں تک پہنچانے کے لئے پرنٹ میڈیا کا سہارا لینا پڑتا پھر کہیں جا کر چند لوگوں تک آواز پہنچتی۔
P,دوسری طرف آج کا وقت ہے جس میں انٹرنیٹ جیسی سہولت دستیاب ہے ۔
P,مجھ جیسا پینڈو بھی اگر ہمت رکھتا ہو تو انٹرنیٹ کے ذریعے اپنی آواز چند لمحات میں پوری دنیا تک پہنچا سکتا ہے۔
P, بلاگ لکھ سکتا ہے، مختلف فورمز پر اپنے حق کی صدا لگا سکتا ہے۔
P,مختلف اداروں کی رپورٹس دیکھ سکتا ہے۔
P,لائبریری میں کتابیں تلاش کرنے کی بجائے گوگل اور دیگر سرچ انجن کے ذریعے چند منٹوں میں اپنی مطلوبہ معلومات حاصل کر سکتا ہے۔
P,سوچتا ہوں اب وہ وقت دور نہیں جب پاکستان کا بچہ بچہ یہ صدا لگائے گا کہ ہمیں ہمارا حق دو۔
P,کیونکہ سوشل نیٹ ورکنگ ویب سائیٹس کی وجہ سے لوگ ایک دوسرے کے خیالات سن رہے ہیں۔
P,تھوڑا اور آہستہ آہستہ سہی لیکن عوام کو شعور ضرور آ رہا ہے۔
P,سیاست دانوں کے فریب اور جھوٹے وعدے اگر کوئی بھولنا چاہے تو انٹرنیٹ اسے دوبارہ یاد کروا دیتا ہے۔
P,اور یہ سب انٹرنیٹ کی بدولت تیزی سے ہو رہا ہے۔
Neu,ایک خبر پڑھی تھی کہ ” قرآن پاک میں تحریف کا الزام، لاہور ہائیکورٹ کا یاہو،ایم ایس این، گوگل سمیت 9 ویب سائٹس بند کرنے کا حکم“۔
N,اس سے پہلے خاکوں والے معاملے پر فیس بک اور یوٹیوب کو بھی بین کیا گیا تھا۔
P,اکثر جب دوستوں میں بحث ہوتی تو میری یہی کوشش ہوتی کہ میں اس معاملے پر خاموشی اختیار کروں۔
N,مجھے ٹھیک طرح سمجھ نہیں آتی تھی کہ اس مسئلہ کا کیا حل ہے؟
N,جب کوئی زیادہ پوچھتا تو میرا جواب یہی ہوتا کہ اس مسئلہ کا کوئی نہ کوئی حل ضرور ہونا چاہئے لیکن یہ جو حل ہمارے لوگ کر رہے ہیں یہ کوئی بہتر حل نہیں۔
N,دیکھو جی جنہوں نے یہ گستاخی کی ہے اگر حقیقت کو تسلیم کیا جائے تو وہ اس وقت بادشاہ ہیں اور جنگل میں بادشاہ شیر ہی ہوتا ہے پھر چاہے شیر بچے دے یا انڈے اس کی مرضی۔
P,اگر بچے یا انڈے دینے پر اعتراض ہے تو خود شیر بنو۔
P,پھر کسی کی جرأت ہی نہیں ہو گی کہ وہ اس طرح کی گستاخیاں کریں۔
N,ایسے ویب سائیٹ بلاک کر کے تم اپنا ہی نقصان کر رہے ہو۔
P,عوام میں جو تھوڑا بہت شعور آ رہا ہے اسے بھی ختم کر دو گے۔
Neu,اگر اسلامی تاریخ دیکھی جائے اور خاص طور پر صلح حدیبیہ کا معاہدہ دیکھا جائے تو اس کی زیادہ تر شقیں ظاہری طور پر مسلمانوں کے حق میں نہیں تھیں۔
Neu,جس کی سب سے بڑی مثال کہ” اگر کوئی مسلمان مکہ کے لوگوں کے کے پاس چلا جائے تو اسے واپس نہیں کیا جائے گا مگر کوئی مشرک مسلمان ہو کر اپنے بزرگوں کی اجازت کے بغیر مدینہ چلا جائے تو اسے واپس کیا جائے گا“۔
P,لیکن اس وقت مسلمان جنگ کی پوزیشن میں نہیں تھے اور حالات کا یہی تقاضا تھا کہ مسلمان کسی طرح جنگ سے بچ جائیں۔
P,اسی معاہدہ جس کی زیادہ شقیں ظاہری طور پر مسلمانوں کے حق میں نہیں تھیں کی بنا پر مسلمان جنگ سے بچ گئے اور پھر اگلے سال مکہ میں داخل ہوئے۔
Neu,اگر ہم اپنے آج کے حالات دیکھیں تو ہم بھی جنگ کی پوزیشن میں نہیں۔
P,کیا یہ بہتر نہیں کہ ہم پہلے ترقی کریں۔
P,جب ہم ترقی کر جائیں گے اور بادشاہ ہوں گے تو اول غیر مسلموں کو گستاخی کی جرأت ہی نہیں ہو گی اور اگر انہوں نے کوئی ایسی حرکت کی تو ہم منہ توڑ جواب دے سکیں گے۔
Neu,لیکن اس طرف کوئی نہیں آئے گا۔
N,کیونکہ یہ کام یعنی مستقل مزاجی، ایمانداری، جذبے اور لگن کے ساتھ ترقی کرنا نعرے لگانے، جلوسوں میں اپنے ہی بھائیوں کے کاروبار تباہ کرنے اور ویب سائیٹ بلاک کرنے سے بہت مشکل ہے۔
N,نبی پاکﷺ کی عظمت پر جان قربان کرنے کا نعرہ لگانا بہت آسان ہے لیکن اس کے حقیقی معنوں پر عمل کرنا بہت مشکل ہے۔
N,ایک طرف ہم انہیں گستاخی کرنے والوں کے ملکوں سے امداد لے کر چلتے ہیں ۔
N,دوسری طرف انہیں سے تعلق ختم کرنا چاہتے ہیں۔
P,ایک طرف ہم انہیں کی پروڈکٹ استعمال کر کے ان کی معیشت مستحکم کرتے ہیں ۔
N,پھر کہتے ہیں کہ وہ گستاخی کیوں کرتے ہیں۔
N,اگر حقیقت کو تسلیم کرو تو سچ یہی ہے کہ اگر ان میں گستاخی کی جرأت ہے تو یہ سب ہماری کمزوری ہے کیونکہ انہیں پتہ ہے مسلمان کمزور ہیں۔
N, زیادہ سے احتجاج کریں گے، اپنے ہی ملک کی املاک کو نقصان پہنچائیں گے۔
N, پھر چپ ہو جائیں گے، ہم سے امداد لے کر کھائیں گے اور ہماری معیشت کو طاقت ور بنائیں گے۔
N,کبھی کبھی سوچ آتی ہے کہ یہ سب کیا ہے ایک طرف ہم کاربونیٹڈ واٹرز کے ذائقہ تک کے معیار کو قربان نہیں کر تے ۔
N, نہ ہی ان کا متبادل بناتے ہیں اور اگر بنائیں تو ہمارے لوگ کہتے ہیں ، جی امپورٹڈ چیز تو پھر کمال کی ہوتی ہے۔
N,پھر دوسری طرف چیختے ہیں کہ وہ گستاخی کر گئے۔
N,کبھی سوچا ہے ایک سوئی تک ہم نہیں بنا سکتے۔
P,ہمارا نوجوانوں کا بس ایک ہی خواب ہے کہ کسی اچھے ملک جا کر سیٹ ہو جائیں۔
P,کبھی سوچا ہے یہی ہمارا ٹیلنٹ وہاں جا کر انہیں ترقی دیتا ہے اور پھر ان میں جرأت پیدا ہوتی ہے۔
Neu,نہیں یہ نہیں سوچیں گے ہم کیونکہ یہ سوچیں تو پھر بہت کچھ قربان کرنا پڑے گا اور ہم قربانی نہیں دینا چاہتے بس نعرے ہی لگا سکتے ہیں۔
Neu, کبھی سوچا کہ یہ کمپیوٹر، انٹرنیٹ، گاڑیاں حتیٰ کہ وہ بندوق جو ہماری فوج استعمال کرتی ہے، وہ جہاز جن پر ہم حج کے لئے جاتے ہیں، وہ ماربل کاٹنے کی مشینیں جنہوں سے ماربل کاٹا اور حرم پاک میں لگا، وہ گھڑی جس سے وقت دیکھ کر ہم نماز کا وقت معلوم کرتے ہیں۔
Neu,ان سب کی ٹیکنالوجی کس نے بنائی؟
Neu,میں یہ نہیں کہتا کہ ان کی پروڈکٹ استعمال نہ کرو۔
P, ان کی ٹیکنالوجی استعمال نہ کرو بلکہ انہیں کی چیزیں، معلومات اور ٹیکنالوجی استعمال کر کے خود ترقی کرو۔
P,ان کے ملکوں میں جاؤ ان سے تعلیم حاصل کرو۔
P,جدید ترین ٹیکنالوجی سیکھو۔
P,ان کے ساتھ امن سے رہو اور یہ سمجھو کہ ہم نے معاہدہ کیا ہوا ہےاور پھر ہر چیز خود تیار کرو۔
P, اپنے دوسرے بھائیوں کو سکھاؤ اپنے ملک میں آ کر وہی تعلیم، وہی ٹیکنالوجی استعمال کرو اور زبردست قسم کی چیزیں تیار کرو۔
P, اپنے ملک کو ترقی دو، اپنی معیشیت مستحکم کرو اور پھر دیکھو وہ گستاخی کرتے ہیں یا نہیں؟ 
N,لیکن ہم یہ سب نہیں کریں گے کیونکہ ویب سائیٹس بلاک کرو اور بس کام ختم، مستقبل جائے بھاڑ میں۔
P, او خدا کے بندو! پہلے ترقی کرو، خود کو اتنا مستحکم کرو کہ آج جس ٹیکنالوجی کو وہ کنڑول کر رہے ہیں مستقبل میں تم کنٹرول کرو اور پھر اگر کوئی گستاخانہ ویب سائیٹ بناتا ہے یا فیس بک جیس ویب سائیٹ پر صفحہ بناتا ہے تم اسے ایک منٹ سے پہلے ختم کر سکو۔ 
Neu, مگر یہ کام، یہ محنت کرے کون؟
Neu,کیونکہ نعرے لگانا آسان مگر محنت کرنا بہت مشکل ہے۔
P,وہ بات ہی نہ کریں جس کو کرنے کا آپ میں دم نہیں۔
Neu,دنیا کا ایک بہت عام اور سادہ سا قانون ہے کہ جو جتنے بڑے عہدے پر ہوتا ہے اس پر ذمہ داریاں بھی اتنی بڑی ہی ہوتی ہیں۔
Neu,آپ کسی گھر کے سربراہ کو دیکھ لیں یا کسی بھی ادارے کے سربراہ یا باقی کام کرنے والوں کو۔
Neu,جو جتنی بڑی نوکری پر ہو گا اس پر ذمہ داریاں بھی اتنی بڑی ہوں گی۔
Neu,آپ یوں بھی کہہ سکتے ہیں کسی کو بڑا عہدہ یا نوکری صرف اس لئے دی جاتی ہے کہ اس نے اس نوکری پر رہتے ہوئے بڑے کام اور بڑی ذمہ داریاں پوری کرنی ہوتی ہیں۔
Neu,حاکمِ وقت ہونا ایک بہت بڑی نوکری اور بہت بڑا عہدہ ہوتا ہے۔
Neu,اس عام اور سادہ قانون کے تحت حاکمِ وقت پر بے شمار ذمہ داریاں ہوتی ہیں کیونکہ وہ کسی ملک وقوم کا سب سے بڑا نوکر ہوتا ہے۔
Neu,ایک عام انسان پر عام سی ذمہ داریاں ہوتی ہیں جبکہ حاکمِ وقت پر پورے ملک و قوم کی ذمہ داریاں ہوتی ہیں ۔
Neu,اس لئے حاکمِ وقت کو ایک ایک قدم پھونک کر رکھنا ہوتا ہے۔
P,ہر بات کرنے سے پہلے ہزار بار سوچنا اور اپنے درباریوں سے مشورہ کرنا ہوتا ہے۔
P,ہم ایک ایسی عوام ہیں جو کبھی یہ سوچتے ہی نہیں کہ ہم پر ایک قوم بننے کی ذمہ داری بھی ہے۔
N,ابھی چند ماہ پہلے غریب عوام کے پیسے سے لاکھوں بلکہ کروڑوں روپے کے اشتہارات اخبارات میں چھاپے اور چھپوائے گئے۔
N,اوپر سے سونے پر سہاگہ کہ ہمارے حکمران بھی ہماری طرح کے ہیں کہ وہ بھی کوئی کام کرنے یا بولنے سے پہلے ایک بار بھی نہیں سوچتے۔
Neu,جن میں سب سے اوپر اپنی اور ساتھ ساتھ اپنے درباریوں کی تصاویر بھی تھیں۔
P,اشتہارات میں کہا گیا کہ دسمبر 2009 تک لوڈ شیڈنگ کا خاتمہ کر دیا جائے گا یا پھر بڑی حد تک قابو پا لیا جائے گا۔
Neu,اسی طرح کے بے شمار بیانات بھی پڑھنے کو ملے۔
Neu, جولائی 2009 کو ایک اشتہار وزارت پانی و بجلی، حکومت پاکستان کی طرف سے اکثر اخبارات میں شائع ہوا جس میں کہا گیا کہ”نئے پاور پراجیکٹس۔ 
P,خوشحالی کی روشن راہیں۔
Neu,انشاءاللہ بجلی کی بڑھتی ہوئی ضروریات کو پورا کرنے کیلئے ہنگامی  پر مختلف نئے پاور پراجیکٹس کی تکمیل سے دسمبر 2009 تک مزید ساڑھے 3ہزار میگا واٹ بجلی حاصل ہو گی۔
Neu,ہمارا عزم۔
P,روشن پاکستان۔
P,پاکستان میں توانائی کے شعبے کی نئی جہت۔ پاکستان الیکڑک پاور کمپنی۔
Neu,اس کے ساتھ ساتھ مختلف پراجیکٹس ، وہ کتنے میگاواٹ بجلی بنائیں گے اور کب تکمیل کو پہنچیں گے درج تھا۔
Neu,اشتہار کے مطابق آخر پر مکمل ہونے والے چار پراجیکٹ بھی دسمبر تک مکمل ہو جائیں گے۔
N,حکومت اور ان کے درباریوں سے صرف ہم یہ کہتے ہیں کہ اب وہ دور نہیں رہا کہ آپ نے جو کہا عوام نے چپ چاپ سن لیا اور پھر کچھ عرصہ بعد بھول گئے۔
P,اب میڈیا بہت تیز ہو چکا ہے ۔
P,ساتھ ساتھ عوام کے ذہن بھی کچھ کچھ کام کرنا شروع ہو گئے جس کی وجہ سے اب یہ سچے جھوٹے وعدوں اور باتوں کو بھی یاد رکھتے ہیں۔
P,ہم حکومت سے صرف یہ پوچھنا چاہتے ہیں کہ وہ نئے پاور پراجیکٹس کہاں ہیں؟
N,وہ خوشحالی کی روشن راہیں کہاں گم ہو گئیں؟
N,وہ دسمبر 2009 تک ملنے والی ساڑھے 3 ہزار میگا واٹ بجلی کونسی زمین نگل گئی؟
P,آپ کا عزم اور اس کے تحت روشن پاکستان کہاں ہے؟
N,پاکستان میں توانائی کے شعبے کی نئی جہت تو کہیں نظر نہیں آ رہی۔
Neu,پاکستان الیکٹرک پاور کمپنی کیا بس نام کی ہی تھی؟
N,روشن پاکستان کے خواب دیکھانے والوں کو صرف اتنا کہنا چاہتا ہوں کہ روشن پاکستان کی عوام آج بھی پندرہ پندرہ گھنٹے کی لوڈ شیڈنگ برداشت کر رہی ہے۔
N,طالب علم موم بتیاں جلا کر پڑھنے پر مجبور ہیں۔
N,کارخانے بند ہو رہے ہیں۔
N,مزدور بے روزگار ہو رہیں۔
Neu,مگر آپ کروڑوں کے اشتہارات دے کر آخر کیا ثابت کرنا چاہ رہے ہیں؟
P,حکومت سے گذارش ہے کہ کم از کم دنیا کے اس عام اور سادہ قانون کو ہی پہچان لو۔
P,کچھ بولنے سے پہلے کم از کم سوچ ہی لیا کرو۔
P,رب نے آپ کو بڑے عہدوں پر بٹھایا ہے تو آپ پر ذمہ داریاں بھی بڑی ہیں۔
P,کچھ اپنی ذمہ داریاں اور اپنے عہدوں کا ہی خیال کیا کرو۔
P,غریب عوام کے پیسے سے اخبارات میں اشتہار دینے سے پہلے کچھ سروے یا کچھ درباریوں سے ہی مشورہ کر لیا کرو تاکہ بعد میں آپ کو شرمندہ نہ ہونا پڑے اور غریب عوام کا پیسا فضول اشتہارات میں ضائع بھی نہ ہو۔
P,اب بہانے بنانے سے بہتر تھا کہ بیانات اور اشتہارات دینے سے پہلے سب دیکھ لیتے کہ یہ کام آپ مکمل کر بھی سکو گے یا نہیں۔
N,ہم یہاں اخلاقی جرات کی بات نہیں کرتے کیونکہ اگر وہ بات کی جائے تو پھر کئی وزراء کو جرات کرنی پڑے گی اور اپنی ناکامی یا اپنا جھوٹ تسلیم کرتے ہوئے وزارت چھوڑنی پڑے گی۔
P,اس لئے ہم وہ بات ہی نہیں کرتے جس سے آپ کو تکلیف ہو۔
P,ہم آپ کی شان میں کوئی گستاخی نہیں کرتے۔
P,بس ہماری اتنی گذارش ہے کہ اپنے عہدے اور اپنی ذمہ داریوں کو سمجھیں اور وہ بات ہی نہ کریں جس کو کرنے کا آپ میں دم نہیں۔
Neu,اصل کی طرف سفر۔
P,گاؤں کی طرف سفر کا آغاز کیا تو اپنے آباؤ اجداد کی وراثت کی طرف جانے کی خوشی تھی۔
P,اپنے اصل کی طرف روانگی کیا لذت عطا کرتی ہے یہ بیان سے باہر ہے۔
P,سفر سارا اسی سرشاری میں ہوا۔
Neu,میں اپنے خاندان کی اس نسل سے تعلق رکھتا ہوں جن کی پیدائش و پرورش شہر میں ہوئی۔
Neu,گاؤں سے ہمارا تعلق بڑوں کی زبانی سنے ہوئے قصوں سے شروع ہو کر ان قصوں پر ہی ختم ہوتا ہے۔
N,غیر محسوس انداز میں ایک ایسی نسل جو اپنے اصل سے واقف ہو کر اس سے دور اور اس سے جڑے ہونے کے باوجود اس سے بے خبر ہوتے ہیں۔
N,دیہاتی زندگی کے حق میں ہماری وکالت زبانی جہاد سے آگے نہیں ہوتی۔
N, جب کبھی اپنے ہم عمر کزنوں سے  دیہی زندگی کے کسی گوشے سے متعلق سوال کرتا ہوں کہ یہ کیا ہے یہ کیسے ہے تو اندر کہیں سے یہ آواز آتی ہے جہالت یہ بھی ہے کہ بندہ ان باتوں اور حقیقتوں سے ناواقف ہو جس پر آباؤ اجداد کو ماہرانہ دسترس ہو، ایسا علم کیا کرنا جو اصل سے دور کرے۔
Neu,یہاں گاؤں میں کھلے گھر کو حویلی کہتے ہیں۔
Neu,یہ بادشاہوں کی حویلیوں جیسی نہیں ہوتی مگر رہائشیوں کے لئے یہ اپنی سلطنت کے دربار سے کم نہیں۔
P,میرے گاؤں میں لوگوں نے اپنی ان حویلیوں کو واقعی سلطنت کے دربار سا بنا رکھا ہے۔
P,بیرون ملک کی کمائی سے بننے والے یہ مکان شہر کے بنگلوں سے ذیادہ بہتر اور جدید ہیں۔
N,ان میں اپنا آبائی مکان جو اب بھی پرانے طرز کا ہی ہے ایک احساس جرم میں مبتلا کرتا ہے کہ دیکھو مکان کے مکین اس سے دور ہو تو گھر ویران ہوتے ہیں۔
Neu,ایسے گھر ان ریسٹ ہاؤس کی شکل اختیار کر لیتے ہیں جو سال دو سال میں ایک آدھ بار آباد ہوں۔
Neu,سمجھنے والی بات یہ ہے کہ میرا جیسا خود فریبی میں مبتلا ہو کر بے شک یہ فخر کرتا ہے کہ وہ ایسی زندگی گزار رہا ہے جو شہری و دیہاتی زندگی کا بھرپور امتزاج ہے۔
N,درحقیقت ایک رخ یہ بھی ہے کہ میرے جیسا بندہ نئی تشکیل شدہ پہچان اور اصل پہچان کی درمیانی کشمکش کا شکار بھی رہتا ہے۔
Neu, مائیکروسافٹ کی نئی سرفیس پرو 3 ٹیبلیٹ، آپ کے لیپ ٹاپ کا نعم البدل؟
Neu,مائیکروسافٹ کی جانب سے حال ہی میں سرفیس ٹیبلیٹ کا نیا ورژن سرفیس پرو 3 متعارف کروا دیا گیا ہے۔
P,اس ٹیبلیٹ کی خاص بات یہ ہے کہ اس میں سکرین کا سائز 10.1 انچ سے بڑھا کر 12 انچ کر دیا گیا ہے۔
P,ٹیبلیٹ کا ڈیزائن تو پہلے جیسا ہی ہے تاہم اب کی بار اسکی موٹائی اور وزن کو کافی کم کردیا گیا ہے۔
P,بڑی سکرین اور ونڈوز 8.1 کی بدولت مائیکروسافٹ کی جانب سے یہ دعوی کیا جارہا ہے کہ یہ ٹیبلیٹ اب آپ کے لیپ ٹاپ کی جگہ بھی لے سکتی ہے۔
Neu,کور پراسیسر استعمال کیے گئے ہیں۔
Neu,کمپنی کے مطابق سرفیس پرو 3 اب تک کی سب سے پتلی ڈیوائس ہے جس میں یہ کور پراسیسر نصب کیے گئے ہیں۔
Neu,اس ٹیبلٹ کی موٹائی محض 9.1 ملی میٹر ہے اور اسکا وزن 800 گرام کے قریب ہے۔
P,پچھلے ورژن کی طرح اس میں بھی کک سٹینڈ اور کی بورڈ کی سہولت فراہم کی گئی ہے جو کور کا کام بھی کرتا ہے۔
P,نیا کی بورڈ پہلے کی نسبت کافی بہتر ہے اور اس میں بڑے سائز کا ٹریک پیڈ بھی موجود ہے۔
